Question,Iteration,Question Type,Answer Precision,Answer Recall,Answer F1,Exact Answer
Which is the email of the student Giulia Rossi?,1,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
Which is the email of the student Giulia Rossi?,2,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
Which is the email of the student Giulia Rossi?,3,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
Which is the email of the student Giulia Rossi?,4,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
Which is the email of the student Giulia Rossi?,5,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
How many credits has the course Software Engineering?,1,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
How many credits has the course Software Engineering?,2,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
How many credits has the course Software Engineering?,3,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
How many credits has the course Software Engineering?,4,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
How many credits has the course Software Engineering?,5,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name of building in which there is the class with room number 401?,1,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name of building in which there is the class with room number 401?,2,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name of building in which there is the class with room number 401?,3,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name of building in which there is the class with room number 401?,4,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
